time,step,loss/stage3_score_loss
1752682953.9500203,77798,0.0025741648860275745
1752682953.9505787,77798,0.0026918852236121893
1752682953.9507153,77838,0.002567935734987259
1752682953.9508219,77838,0.002858696738258004
1752682953.9509218,77878,0.002622866304591298
1752682953.951009,77878,0.0027013930957764387
1752682953.951096,77918,0.002902326639741659
1752682953.9511926,77918,0.0027991426177322865
1752682953.951278,77958,0.002770046005025506
1752682953.951373,77958,0.002712076064199209
1752682953.9514573,77998,0.0026650300715118647
1752682953.95252,77998,0.0026800245977938175
1752682953.9526334,78038,0.0025717555545270443
1752682953.9527392,78038,0.002787127858027816
1752682953.9528522,78078,0.0028310867492109537
1752682953.9528637,78078,0.002535719657316804
1752682953.953018,78118,0.0027207466773688793
1752682953.9531226,78118,0.002649832982569933
1752682953.9536197,78158,0.002755951602011919
1752682953.9538364,78158,0.0029132149647921324
1752682953.9544904,78198,0.002622283762320876
1752682953.954766,78198,0.002475965302437544
1752682953.9550157,78238,0.0027346452698111534
1752682953.9553788,78238,0.0027003628201782703
1752682953.9556093,78278,0.002897086087614298
1752682953.9560661,78278,0.002752330619841814
1752682953.9561148,78318,0.002753057051450014
1752682953.9561555,78318,0.002728211460635066
1752682953.9561932,78358,0.002690639579668641
1752682953.9562318,78358,0.0026687446516007185
1752682953.9562685,78398,0.0027907881885766983
1752682953.956306,78398,0.002792167477309704
1752682953.9563427,78438,0.0026935962960124016
1752682953.9565024,78438,0.002541985595598817
1752682953.9566772,78478,0.002764906268566847
1752682953.9568248,78478,0.0026381283532828093
1752682953.9569712,78518,0.002757141599431634
1752682953.9571168,78518,0.0028804177418351173
1752682953.9573107,78558,0.002682041609659791
1752682953.9574702,78558,0.0024882492143660784
1752682953.9576244,78598,0.0028742095455527306
1752682953.95809,78598,0.002643285086378455
1752682953.9581363,78638,0.002562865847721696
1752682953.9581742,78638,0.0025470536202192307
1752682953.958242,78678,0.002754437969997525
1752682953.9582932,78678,0.0026245650369673967
1752682953.9585428,78718,0.002691968809813261
1752682953.9585826,78718,0.0028307312168180943
1752682953.9586215,78758,0.0026894377078861
1752682953.9586604,78758,0.002626971574500203
1752682953.959064,78798,0.0027471717912703753
1752682953.9591124,78798,0.0024706183467060328
1752682953.9592838,78838,0.002801603404805064
1752682953.9593282,78838,0.0027204472571611404
1752682953.9596524,78878,0.0027546740602701902
1752682953.9596736,78878,0.0027102904859930277
1752682953.959837,78918,0.0026810970157384872
1752682953.959849,78918,0.0027760309167206287
1752682953.959983,78958,0.0027232582215219736
1752682953.9599943,78958,0.0027893511578440666
1752682953.960122,78998,0.00262442440725863
1752682953.9601328,78998,0.0025681036058813334
1752682953.96039,79038,0.0025761104188859463
1752682953.9605327,79038,0.0028092353604733944
1752682953.9606404,79078,0.0028137124609202147
1752682953.960742,79078,0.00279210414737463
1752682953.96084,79118,0.00258781504817307
1752682953.9609509,79118,0.0028766810428351164
1752682953.960962,79158,0.0026180718559771776
1752682953.9610975,79158,0.002756688743829727
1752682953.961211,79198,0.002555533079430461
1752682953.9613338,79198,0.00265002204105258
1752682953.9614458,79238,0.0028277679812163115
1752682953.9614592,79238,0.0028495353180915117
1752682953.9616153,79278,0.0028260285034775734
1752682953.961841,79278,0.002591724507510662
1752682953.961867,79318,0.002512478269636631
1752682953.961881,79318,0.002551174024119973
1752682953.9620695,79358,0.0026174248196184635
1752682953.9623277,79358,0.0026833529118448496
1752682953.9624422,79398,0.0026403770316392183
1752682953.9625514,79398,0.0027676003519445658
1752682953.9626532,79438,0.002632923424243927
1752682953.9627557,79438,0.0029121392872184515
1752682953.9628584,79478,0.002578705782070756
1752682953.9629576,79478,0.0027420169208198786
1752682953.9630568,79518,0.0026701672468334436
1752682953.9631538,79518,0.0027358480729162693
1752682953.9632533,79558,0.002846504095941782
1752682953.964085,79558,0.002791056875139475
1752682953.9643612,79598,0.0026368130929768085
1752682953.9643848,79598,0.002592004369944334
1752682953.9648647,79638,0.0027393067721277475
1752682953.9648807,79638,0.0024504754692316055
1752682953.9648914,79678,0.0026887552812695503
1752682953.9649014,79678,0.0028247814625501633
1752682953.9649107,79718,0.0028031899128109217
1752682953.9650142,79718,0.0025619433727115393
1752682953.9651663,79758,0.0026927839498966932
1752682953.965266,79758,0.0027074841782450676
1752682953.9653668,79798,0.0025839132722467184
1752682953.9655938,79798,0.0026644908357411623
1752682953.9656987,79838,0.0027704089879989624
1752682953.965803,79838,0.0026905545964837074
1752682953.9659133,79878,0.002673603594303131
1752682953.9659257,79878,0.002833745675161481
1752682953.966111,79918,0.0026302712503820658
1752682953.9661322,79918,0.002695505740121007
1752682953.9664137,79958,0.0028497986495494843
1752682953.9665334,79958,0.002881627297028899
1752682953.9665456,79998,0.0027400190010666847
1752682953.9666896,79998,0.0027201662305742502
1752682953.96678,80038,0.0026571149937808514
1752682953.9668796,80038,0.0027846144512295723
1752682953.9669757,80078,0.002643245505169034
1752682953.9670718,80078,0.0026782737113535404
1752682953.9671981,80118,0.002663702704012394
1752682953.9672096,80118,0.002714865142479539
1752682953.9673145,80158,0.0026072596665471792
1752682953.9674013,80158,0.0027602845802903175
1752682953.9675317,80198,0.0027460791170597076
1752682953.9676178,80198,0.0028614962939172983
1752682953.9677148,80238,0.0029009925201535225
1752682953.9678,80238,0.002691518049687147
1752682953.9679115,80278,0.0028066178783774376
1752682953.9679985,80278,0.002645090688019991
1752682953.9681003,80318,0.002535982057452202
1752682953.9681983,80318,0.0025354574900120497
1752682953.9682848,80358,0.0025168778374791145
1752682953.96838,80358,0.002725878730416298
1752682953.9684634,80398,0.002719544805586338
1752682953.9685652,80398,0.0027476416435092688
1752682953.9686506,80438,0.0026716580614447594
1752682953.968746,80438,0.0026671646628528833
1752682953.9688532,80478,0.002763542579486966
1752682953.9688644,80478,0.0027029686607420444
1752682953.9689968,80518,0.0026858693454414606
1752682953.9690835,80518,0.0027086008340120316
1752682953.9692092,80558,0.002727628219872713
1752682953.9692206,80558,0.0027088671922683716
1752682953.9693527,80598,0.002739550778642297
1752682953.969455,80598,0.0027900433633476496
1752682953.9695532,80638,0.0028514836449176073
1752682953.9696412,80638,0.002666484797373414
1752682953.9697447,80678,0.0026327690575271845
1752682953.9698453,80678,0.0025547409895807505
1752682953.9699476,80718,0.0027167124208062887
1752682953.9700377,80718,0.002492627827450633
1752682953.970134,80758,0.002859686966985464
1752682953.9702396,80758,0.0030027099419385195
1752682953.9716144,80798,0.0027162141632288694
1752682953.9716306,80798,0.0026452927850186825
1752682953.9718199,80838,0.0026849976275116205
1752682953.9718373,80838,0.0026970631442964077
1752682953.9719837,80878,0.002700499491766095
1752682953.9719956,80878,0.002842121059074998
1752682953.9721463,80918,0.002812426770105958
1752682953.9721572,80918,0.0027932063676416874
1752682953.9722843,80958,0.0026658375281840563
1752682953.9722953,80958,0.0028083333745598793
1752682953.9724195,80998,0.0025795449037104845
1752682953.9724307,80998,0.0026098645757883787
1752682953.9725897,81038,0.002824461553245783
1752682953.9726102,81038,0.0027748572174459696
1752682953.972772,81078,0.002711300039663911
1752682953.972784,81078,0.002669750014320016
1752682953.972916,81118,0.002818995388224721
1752682953.9729264,81118,0.0028968872502446175
1752682953.9732885,81158,0.0027682811487466097
1752682953.973553,81158,0.0027578945737332106
1752682953.973567,81198,0.0028097720351070166
1752682953.9738467,81198,0.0027978906873613596
1752682953.9740565,81238,0.0028555034659802914
1752682953.9743066,81238,0.0025921897031366825
1752682953.9744473,81278,0.0025770668871700764
1752682953.974461,81278,0.0025550753343850374
1752682953.9746232,81318,0.002697140211239457
1752682953.9746354,81318,0.002701829420402646
1752682953.9747903,81358,0.003003388410434127
1752682953.9748027,81358,0.00255033653229475
1752682953.9749522,81398,0.002703361678868532
1752682953.974964,81398,0.0026143386494368315
1752682953.9750884,81438,0.002795448061078787
1752682953.9750996,81438,0.002640046179294586
1752682953.9752126,81478,0.002899294951930642
1752682953.975226,81478,0.0026143318973481655
1752682953.9753742,81518,0.0027095340192317963
1752682953.9753852,81518,0.0026168134063482285
1752682953.9763706,81558,0.0025803798343986273
1752682953.9763896,81558,0.0026780099142342806
1752682953.9766583,81598,0.0028587160632014275
1752682953.9766784,81598,0.0027289753779768944
1752682953.9770224,81638,0.002759598894044757
1752682953.977041,81638,0.002566293580457568
1752682953.977055,81678,0.002580529311671853
1752682953.9770687,81678,0.0026778618339449167
1752682953.977082,81718,0.0026373632717877626
1752682953.977096,81718,0.0027611078694462776
1752682953.977386,81758,0.0027935507241636515
1752682953.9777937,81758,0.0027152770198881626
1752682953.9778163,81798,0.0027051500510424376
1752682953.9778314,81798,0.0026842826046049595
1752682953.977845,81838,0.002670368878170848
1752682953.9778583,81838,0.002618322614580393
1752682953.9778714,81878,0.0026482525281608105
1752682953.9778845,81878,0.0027602354530245066
1752682953.9780588,81918,0.0026908975560218096
1752682953.9784036,81918,0.002718259347602725
1752682953.9784222,81958,0.0026381153147667646
1752682953.9784372,81958,0.002847920870408416
1752682953.978571,81998,0.002696550451219082
1752682953.978586,81998,0.0027382110711187124
1752682953.9787838,82038,0.0027773526962846518
1752682953.9789138,82038,0.0027935788966715336
1752682953.978929,82078,0.0026635276153683662
1752682953.9791374,82078,0.002662925748154521
1752682953.9791527,82118,0.002699962817132473
1752682953.9792812,82118,0.0027114327531307936
